Specimen,Genus,Species,Body Mass,DNE,RFI,OPCR
EPV77151,Cantius,Cantius_mckennai,1747.272441,173.842,1.547,81.75
EPV77123,Cantius,Cantius_mckennai,1467.394538,198.457,1.606,90.5
EPV65072,Cantius,Cantius_mckennai,1985.784674,243.702,1.601,105.125
EPV65073,Cantius,Cantius_mckennai,1898.609581,176.391,1.463,115.5
EPV65057,Cantius,Cantius_mckennai,1772.634664,191.967,1.807,88.625
EPV65434,Cantius,Cantius_mckennai,1806.905351,183.125,1.579,78
EPV65450,Cantius,Cantius_mckennai,1374.21365,204.253,1.698,83.375
EPV65461,Cantius,Cantius_mckennai,1848.414013,171.02,1.431,104.625
EPV65451,Cantius,Cantius_mckennai,1955.980312,167.955,1.387,109.125
EPV91487,Cantius,Cantius_mckennai,1775.297528,265.522,1.671,115.625
EPV77117,Cantius,Cantius_mckennai,1743.684668,187.508,1.477,113
EPV68584,Cantius,Cantius_mckennai,1676.285471,243.664,1.669,108.375
EPV68587,Cantius,Cantius_mckennai,1469.858357,206.705,1.583,105.75
EPV77130,Cantius,Cantius_ralstoni,1330.701117,230.809,1.621,110.875
EPV77121,Cantius,Cantius_ralstoni,1383.605449,180.356,1.589,78.75
EPV68568,Cantius,Cantius_ralstoni,1422.940373,276.436,1.851,130.5
EPV68549,Cantius,Cantius_ralstoni,1333.306549,229.301,1.728,85.75
EPV68569,Cantius,Cantius_ralstoni,1475.003676,187.99,1.554,93.75
EPV65041,Cantius,Cantius_ralstoni,1716.076043,182.234,1.532,90.75
EPV65431,Cantius,Cantius_ralstoni,1544.805656,184.34,1.449,90.75
EPV77124,Cantius,Cantius_ralstoni,1814.046433,154.96,1.464,103
EPV68573,Cantius,Cantius_ralstoni,1220.161499,144.565,1.524,85.75
EPV68547,Cantius,Cantius_torresi,1334.887496,182.224,1.478,97
EPV65432,Cantius,Cantius_torresi,1119.85524,234.243,1.637,108.25
EPV65048,Cantius,Cantius_torresi,1339.438076,183.897,1.607,73.875
EPV91682,Cantius,Cantius_trigonodus,2715.037708,208.727,1.667,82
EPV91800,Cantius,Cantius_trigonodus,2492.918503,224.943,1.564,103.625
EPV91819L,Cantius,Cantius_trigonodus,1992.144449,229.865,1.766,100
EPV91819R,Cantius,Cantius_trigonodus,2688.116088,220.305,1.581,94.375
EPV91868,Cantius,Cantius_trigonodus,2584.245915,276.888,1.697,94.5
EPV92015,Cantius,Cantius_trigonodus,3328.036451,266.47,1.641,88
EPV92107,Cantius,Cantius_trigonodus,3283.933028,214.787,1.598,87.875
EPV65436,Cantius,Cantius_trigonodus,2561.828091,225.477,1.428,111.125
EPV65444,Cantius,Cantius_trigonodus,2662.913518,258.253,1.544,129.875
UW7224,Teilhardina,Teilhardina_americana,276.6772044,146.406,1.648,89.125
EPV77457,Teilhardina,Teilhardina_americana,401.0246206,177.764,1.552,71.75
EPV68554,Teilhardina,Teilhardina_americana,324.3458208,145.135,1.482,85.25
UW7144,Teilhardina,Teilhardina_americana,494.871429,160.215,1.673,88.25
UW7179,Teilhardina,Teilhardina_americana,237.7751861,192.61,1.602,74
UW7225,Teilhardina,Teilhardina_americana,263.4556717,208.725,1.691,74.625
UW8870,Teilhardina,Teilhardina_americana,241.0352512,152.649,1.698,76.375
UW7217,Teilhardina,Teilhardina_americana,260.6961233,217.006,1.691,84.125
UW7141,Teilhardina,Teilhardina_americana,261.4631743,163.135,1.566,86.75
UW7214,Teilhardina,Teilhardina_americana,231.1330771,166.107,1.642,82.625
UW7912,Teilhardina,Teilhardina_americana,240.1986305,169.158,1.768,78.25
UW11328,Tetonius,Tetonius_homunculus,368.4861092,134.778,1.624,69.375
UW11330,Tetonius,Tetonius_homunculus,383.0241047,159.74,1.697,75.625
UW29083,Tetonius,Tetonius_matthewi,195.2087465,146.85,1.629,73.5
UW9412,Tetonius,Tetonius_matthewi,477.7943653,199.439,1.632,79.25
UW7325A,Tetonius,Tetonius_matthewi,354.4754196,158.499,1.577,68
UW11949,Tetonius,Tetonius_matthewi,315.5492947,216.406,1.682,70.5
UW10053,Tetonius,Tetonius_matthewi,344.6228645,212.432,1.858,76.875
UW11257,Tetonius,Tetonius_matthewi,263.1240239,181.574,1.751,74.375
EPV65465,Tetonius,Tetonius_matthewi,381.2621082,125.957,1.536,65.75
EPV77162,Tetonius,Tetonius_matthewi,343.6047961,162.45,1.608,81.25
EPV77159,Tetonius,Tetonius_matthewi,304.0672804,146.006,1.468,84.125
UW10356,Tetonius,Tetonius_matthewi,336.4897602,181.348,1.799,61.25
UW7216,Tetonius,Tetonius_matthewi,337.3750256,112.695,1.628,59.75
UW7910,Tetonius,Tetonius_matthewi,357.5849193,129.369,1.741,68.125
UW8901,Tetonius,Tetonius_matthewi,405.4514386,172.425,1.727,62.25
