SVL,Weight,HeadW,ShW,ThL,LoLegL,ThW,LLegW,Risk
12.379,0.123,4.658724896,4.325819024,4.692,4.447,2.504909274,1.577957951,null
12.798,0.132,4.563946789,4.052377304,4.8235,4.457,2.289070014,1.37751548,null
12.362,0.133,4.390997562,4.027266267,5.177,4.6505,2.294709282,1.428949014,null
12.571,0.134,4.37745105,4.627490986,4.8625,4.3545,2.246708208,1.549078964,null
12.891,0.134,4.696661306,4.09120208,4.9545,4.458,2.325335752,1.53266607,null
13.019,0.137,4.754821418,4.387307082,4.8575,4.454,2.252001112,1.529413747,null
12.641,0.139,4.356234171,4.495018197,5.548,5.01,2.304967462,1.447696846,null
12.869,0.139,4.661033294,4.510670605,5.3535,4.7935,2.255263109,1.54366612,null
12.82,0.14,4.430361067,4.302217038,4.4845,4.115,2.415238041,1.635025949,null
12.892,0.141,4.677699827,3.777004471,5.0775,4.6425,2.300524872,1.301410408,null
12.462,0.143,4.689270846,4.46078107,5.168,4.5305,2.043815996,1.633648997,null
13.256,0.143,4.59579212,3.842879517,4.254,3.9605,2.482277426,1.688096767,null
13.438,0.143,4.548396063,4.437950616,5.2245,4.6715,2.210158771,1.494739214,null
13.008,0.144,4.769014021,4.104573373,4.513,4.4865,2.344098425,1.649284898,null
12.526,0.146,4.426722088,4.070016223,5.4575,5.1215,2.023001114,1.199311761,null
12.742,0.148,4.668126463,4.046719061,5.26,4.447,2.288455894,1.555248945,null
12.76,0.149,4.657320762,4.391167117,5.4055,4.801,2.290859758,1.355735869,null
13.665,0.149,4.75588719,4.012618182,5.0945,4.747,2.195684048,1.498161549,null
13.46,0.15,4.447604356,4.136886564,4.8935,4.3375,2.256803492,1.559829456,null
13.34,0.151,4.840460998,4.503591024,5.511,4.962,2.299381925,1.523209442,null
13.521,0.151,4.65539813,4.335046048,4.7245,4.701,2.270525812,1.39723225,null
13.582,0.151,4.664030109,4.138081337,5.212,4.867,2.240893581,1.416105992,null
13.597,0.151,4.770321077,4.405188235,4.961,4.741,2.414160243,1.480900096,null
12.916,0.152,4.581139823,4.312146474,4.967,4.331,2.437981906,1.649453366,null
13.279,0.152,4.561600463,4.529076144,5.351,4.6505,2.20201433,1.402076259,null
13.304,0.152,4.843168937,4.853720824,4.278,4.1235,2.443675158,1.543527782,null
13.455,0.154,4.72881051,4.671987044,5.453,4.8715,2.175521737,1.609196877,null
