Species,Diet,RFI,DNE,OPCR,SRL
Alouatta palliata aequatorialis,Folivores,0.569,167.027,52.25,3.05
Alouatta palliata aequatorialis,Folivores,0.594,207.057,53.625,3.362
Alouatta palliata aequatorialis,Folivores,0.547,178.497,53.25,3.002
Alouatta seniculus,Folivores,0.572,170.393,51.625,3.092
Alouatta seniculus,Folivores,0.536,172.125,54,2.986
Alouatta seniculus,Folivores,0.557,170.079,54.625,3.03
Alouatta seniculus,Folivores,0.56,203.928,54.375,3.207
Alouatta seniculus,Folivores,0.555,193.88,62.25,3.09
Alouatta seniculus,Folivores,0.525,174.021,56.75,3.136
Alouatta seniculus,Folivores,0.577,206.327,54.625,3.203
Aotus azarae,Frugivores,0.557,137.633,56.875,2.614
Aotus azarae,Frugivores,0.559,140.75,52.875,2.762
Aotus nigriceps,Frugivores,0.545,143.37,51.125,3.025
Aotus nigriceps,Frugivores,0.541,127.692,54.125,2.543
Aotus nigriceps,Frugivores,0.562,152.231,58.5,2.548
Aotus nigriceps,Frugivores,0.523,151.358,55.125,3.083
Aotus nigriceps,Frugivores,0.513,139.276,57.375,2.921
Aotus nigriceps,Frugivores,0.525,143.784,55.875,2.649
Aotus nigriceps,Frugivores,0.522,125.397,56.375,2.71
Aotus nigriceps,Frugivores,0.553,141.199,54.125,2.682
Arctocebus calabarensis,Insectivores,0.673,354.604,51.375,4.167
Arctocebus calabarensis,Insectivores,0.564,219.328,42.5,3.528
Arctocebus calabarensis,Insectivores,0.613,305.964,49.125,3.828
Arctocebus calabarensis,Insectivores,0.539,251.687,44.625,3.119
Arctocebus calabarensis,Insectivores,0.595,319.707,46.375,3.415
Ateles belzebuth,Frugivores,0.533,146.557,47.5,2.776
Ateles belzebuth,Frugivores,0.53,145.943,47.125,2.634
Ateles belzebuth,Frugivores,0.493,135.239,52.25,2.604
Ateles belzebuth,Frugivores,0.496,120.224,53.75,2.605
Ateles belzebuth,Frugivores,0.526,151.246,70.875,2.688
Ateles belzebuth,Frugivores,0.508,158.952,54,2.877
Ateles geoffroyi,Frugivores,0.512,144.732,60.75,2.761
Ateles geoffroyi,Frugivores,0.502,142.158,65.25,2.688
Ateles geoffroyi,Frugivores,0.524,132.473,54,2.797
Ateles paniscus,Frugivores,0.519,169.719,70.75,2.948
Avahi laniger,Folivores,0.62,271.386,53.875,4.006
Avahi laniger,Folivores,0.528,214.492,51.875,3.713
Avahi laniger,Folivores,0.544,215.518,56.5,3.449
Avahi laniger,Folivores,0.52,228.427,54.5,3.699
Avahi laniger,Folivores,0.562,228.885,55.625,3.811
Avahi laniger,Folivores,0.613,292.822,60,4.161
Avahi laniger,Folivores,0.592,249.377,55.25,3.67
Brachyteles arachnoides,Folivores,0.608,146.024,50.625,3.302
Brachyteles arachnoides,Folivores,0.588,166.176,49.625,3.461
Brachyteles arachnoides,Folivores,0.612,138.862,47.25,3.231
Brachyteles arachnoides,Folivores,0.602,154.014,52.625,3.049
Brachyteles arachnoides,Folivores,0.564,139.988,51.875,3.102
Brachyteles arachnoides,Folivores,0.586,192.917,59.625,3.265
Brachyteles arachnoides,Folivores,0.61,199.286,53.25,3.369
Brachyteles arachnoides,Folivores,0.617,185.008,53.625,3.602
Brachyteles arachnoides,Folivores,0.613,162.251,50.75,3.136
Brachyteles arachnoides,Folivores,0.61,164.498,50.875,3.375
Cacajao calvus,Hard-object-feeders,0.499,121.757,57.625,2.506
Cacajao calvus,Hard-object-feeders,0.492,120.121,67.625,2.502
Cacajao calvus,Hard-object-feeders,0.498,119.533,67.75,2.338
Cacajao calvus,Hard-object-feeders,0.479,108.366,42,2.538
Cacajao calvus,Hard-object-feeders,0.533,145.17,76.25,2.659
Cacajao calvus rubicundus,Hard-object-feeders,0.491,105.71,85.75,2.281
Cacajao melanocephalus,Hard-object-feeders,0.493,115.73,63.75,2.389
Cacajao melanocephalus,Hard-object-feeders,0.507,118.244,59.875,2.491
